product_id,store,scrape_date,list_price,price
3096916,chedraui,2026-04-02,11.5,11.5
3096916,chedraui,2026-04-07,11.5,11.5
3096916,chedraui,2026-04-08,15.0,15.0
3096916,chedraui,2026-04-12,15.0,15.0
3096916,chedraui,2026-04-13,11.5,11.5
3100901,chedraui,2026-04-02,31.5,31.5
3100901,chedraui,2026-04-03,31.5,31.5
3100901,chedraui,2026-04-07,31.5,31.5
3100901,chedraui,2026-04-08,59.9,59.9
3100901,chedraui,2026-04-12,59.9,59.9
3100901,chedraui,2026-04-13,31.5,31.5
3100925,chedraui,2026-04-02,10.0,10.0
3100925,chedraui,2026-04-03,10.0,10.0
3100925,chedraui,2026-04-07,10.0,10.0
3100925,chedraui,2026-04-08,10.0,10.0
3100925,chedraui,2026-04-12,12.5,12.5
3100925,chedraui,2026-04-13,10.0,10.0
3102811,chedraui,2026-04-02,99.5,99.5
3102811,chedraui,2026-04-03,99.5,99.5
3102811,chedraui,2026-04-07,99.5,89.0
3102811,chedraui,2026-04-08,139.5,139.5
3102811,chedraui,2026-04-12,139.5,139.5
3102811,chedraui,2026-04-13,99.5,99.5
3102901,chedraui,2026-04-02,98.0,98.0
3102901,chedraui,2026-04-03,98.0,98.0
3102901,chedraui,2026-04-07,98.0,98.0
3102901,chedraui,2026-04-08,101.8,101.8
3102901,chedraui,2026-04-12,164.0,164.0
3102901,chedraui,2026-04-13,101.8,101.8
3115681,chedraui,2026-04-02,41.5,41.5
3115681,chedraui,2026-04-07,41.5,41.5
3115681,chedraui,2026-04-08,41.5,41.5
3115681,chedraui,2026-04-12,50.0,50.0
3115681,chedraui,2026-04-13,41.5,41.5
3198677,chedraui,2026-04-02,22.5,22.5
3198677,chedraui,2026-04-07,22.5,22.5
3198677,chedraui,2026-04-08,22.5,22.5
3198677,chedraui,2026-04-12,22.5,22.5
3198677,chedraui,2026-04-13,19.0,19.0
3324770,chedraui,2026-04-02,10.0,10.0
3324770,chedraui,2026-04-07,10.0,10.0
3324770,chedraui,2026-04-08,10.0,10.0
3324770,chedraui,2026-04-12,14.0,14.0
3324770,chedraui,2026-04-13,10.0,10.0
3392308,chedraui,2026-04-02,75.5,75.5
3392308,chedraui,2026-04-07,75.5,75.5
3392308,chedraui,2026-04-08,84.0,84.0
3392308,chedraui,2026-04-12,84.0,84.0
3392308,chedraui,2026-04-13,67.0,67.0
3441089,chedraui,2026-04-02,26.0,25.0
3441089,chedraui,2026-04-07,26.0,26.0
3441089,chedraui,2026-04-08,33.0,25.0
3441089,chedraui,2026-04-12,33.0,25.0
3441089,chedraui,2026-04-13,25.5,25.5
3454679,chedraui,2026-04-02,5.5,5.5
3454679,chedraui,2026-04-07,5.5,5.5
3454679,chedraui,2026-04-08,6.0,6.0
3454679,chedraui,2026-04-12,6.0,6.0
3454679,chedraui,2026-04-13,4.5,4.5
3489117,chedraui,2026-04-02,61.0,61.0
3489117,chedraui,2026-04-07,61.0,61.0
3489117,chedraui,2026-04-08,81.5,81.5
3489117,chedraui,2026-04-12,81.5,81.5
3489117,chedraui,2026-04-13,61.0,61.0
3578256,chedraui,2026-04-02,43.0,43.0
3578256,chedraui,2026-04-07,43.0,43.0
3578256,chedraui,2026-04-08,43.0,43.0
3578256,chedraui,2026-04-12,54.0,54.0
3578256,chedraui,2026-04-13,43.0,43.0
3658815,chedraui,2026-04-02,6.0,6.0
3658815,chedraui,2026-04-07,6.0,6.0
3658815,chedraui,2026-04-08,6.0,6.0
3658815,chedraui,2026-04-12,11.0,11.0
3658815,chedraui,2026-04-13,6.0,6.0
3671050,chedraui,2026-04-02,34.0,33.77
3671050,chedraui,2026-04-07,34.0,33.77
3671050,chedraui,2026-04-08,42.0,42.0
3671050,chedraui,2026-04-12,42.0,42.0
3671050,chedraui,2026-04-13,34.0,34.0
3711103,chedraui,2026-04-02,179.9,179.9
3711103,chedraui,2026-04-03,179.9,179.9
3711103,chedraui,2026-04-07,179.9,179.9
3711103,chedraui,2026-04-08,179.9,179.9
3711103,chedraui,2026-04-12,179.9,179.9
3711103,chedraui,2026-04-13,110.0,110.0
3806592,chedraui,2026-04-02,93.5,93.5
3806592,chedraui,2026-04-07,94.5,94.5
3806592,chedraui,2026-04-08,93.5,93.5
3806592,chedraui,2026-04-12,93.5,93.5
3806592,chedraui,2026-04-13,79.0,79.0
3825132,chedraui,2026-04-02,252.0,252.0
3825132,chedraui,2026-04-07,252.0,252.0
3825132,chedraui,2026-04-08,252.0,252.0
3825132,chedraui,2026-04-12,252.0,252.0
3825132,chedraui,2026-04-13,196.0,196.0
3861260,chedraui,2026-04-02,2.5,2.5
3861260,chedraui,2026-04-07,2.5,2.5
3861260,chedraui,2026-04-08,3.5,3.5
3861260,chedraui,2026-04-12,3.5,3.5
3861260,chedraui,2026-04-13,2.5,2.5
3890324,chedraui,2026-04-02,24.0,24.0
3890324,chedraui,2026-04-07,24.0,24.0
3890324,chedraui,2026-04-08,24.0,24.0
3890324,chedraui,2026-04-12,39.0,39.0
3890324,chedraui,2026-04-13,24.0,24.0
68434,superaki,2026-04-03,24.95,24.95
68434,superaki,2026-04-07,24.95,24.95
68434,superaki,2026-04-08,24.95,24.95
68434,superaki,2026-04-12,24.95,24.95
68434,superaki,2026-04-13,20.5,20.5
