product_id,store,scrape_date,list_price,price
3005205,chedraui,2026-04-02,67.0,60.0
3005205,chedraui,2026-04-07,67.0,60.0
3005205,chedraui,2026-04-08,67.0,67.0
3005205,chedraui,2026-04-12,67.0,67.0
3005205,chedraui,2026-04-13,67.0,60.0
3010329,chedraui,2026-04-02,132.0,132.0
3010329,chedraui,2026-04-07,132.0,87.0
3010329,chedraui,2026-04-08,132.0,122.0
3010329,chedraui,2026-04-12,132.0,132.0
3010329,chedraui,2026-04-13,132.0,122.0
3011691,chedraui,2026-04-02,62.0,62.0
3011691,chedraui,2026-04-07,62.0,62.0
3011691,chedraui,2026-04-08,68.0,62.0
3011691,chedraui,2026-04-12,68.0,68.0
3011691,chedraui,2026-04-13,68.0,62.0
3045721,chedraui,2026-04-02,65.0,53.0
3045721,chedraui,2026-04-07,65.0,53.0
3045721,chedraui,2026-04-08,65.0,53.0
3045721,chedraui,2026-04-12,65.0,65.0
3045721,chedraui,2026-04-13,65.0,53.0
3100920,chedraui,2026-04-02,11.9,7.1
3100920,chedraui,2026-04-03,9.9,7.9
3100920,chedraui,2026-04-07,9.9,9.9
3100920,chedraui,2026-04-08,11.9,6.9
3100920,chedraui,2026-04-12,8.5,8.5
3100920,chedraui,2026-04-13,9.7,6.6
3102635,chedraui,2026-04-02,245.0,224.0
3102635,chedraui,2026-04-07,245.0,224.0
3102635,chedraui,2026-04-08,245.0,224.0
3102635,chedraui,2026-04-12,245.0,245.0
3102635,chedraui,2026-04-13,245.0,224.0
3102808,chedraui,2026-04-02,99.9,99.9
3102808,chedraui,2026-04-03,99.9,99.9
3102808,chedraui,2026-04-07,99.9,79.0
3102808,chedraui,2026-04-08,103.4,79.0
3102808,chedraui,2026-04-12,122.5,122.5
3102808,chedraui,2026-04-13,110.0,103.5
3102817,chedraui,2026-04-02,49.9,26.0
3102817,chedraui,2026-04-03,49.9,26.0
3102817,chedraui,2026-04-07,49.9,49.9
3102817,chedraui,2026-04-08,49.9,49.9
3102817,chedraui,2026-04-12,54.5,54.5
3102817,chedraui,2026-04-13,54.5,44.8
3109736,chedraui,2026-04-02,94.0,78.9
3109736,chedraui,2026-04-03,94.0,78.9
3109736,chedraui,2026-04-07,94.0,79.8
3109736,chedraui,2026-04-08,109.8,97.9
3109736,chedraui,2026-04-12,109.9,109.9
3109736,chedraui,2026-04-13,109.9,63.5
3109882,chedraui,2026-04-02,49.9,31.9
3109882,chedraui,2026-04-07,44.9,29.8
3109882,chedraui,2026-04-08,44.9,29.8
3109882,chedraui,2026-04-12,49.9,49.9
3109882,chedraui,2026-04-13,49.9,29.9
3131975,chedraui,2026-04-02,94.0,75.0
3131975,chedraui,2026-04-07,94.0,75.0
3131975,chedraui,2026-04-08,94.0,75.0
3131975,chedraui,2026-04-12,98.5,98.5
3131975,chedraui,2026-04-13,98.5,75.0
3237664,chedraui,2026-04-02,85.0,66.9
3237664,chedraui,2026-04-07,85.0,66.9
3237664,chedraui,2026-04-08,85.0,73.0
3237664,chedraui,2026-04-12,85.0,85.0
3237664,chedraui,2026-04-13,85.0,77.0
3301462,chedraui,2026-04-02,25.0,23.0
3301462,chedraui,2026-04-07,25.0,25.0
3301462,chedraui,2026-04-08,25.0,25.0
3301462,chedraui,2026-04-12,25.0,25.0
3301462,chedraui,2026-04-13,25.0,23.0
3307731,chedraui,2026-04-02,164.0,150.0
3307731,chedraui,2026-04-07,164.0,150.0
3307731,chedraui,2026-04-08,164.0,150.0
3307731,chedraui,2026-04-12,164.0,164.0
3307731,chedraui,2026-04-13,164.0,150.0
3754524,chedraui,2026-04-02,33.0,33.0
3754524,chedraui,2026-04-07,33.0,33.0
3754524,chedraui,2026-04-08,33.0,33.0
3754524,chedraui,2026-04-12,33.0,33.0
3754524,chedraui,2026-04-13,33.0,30.0
3765105,chedraui,2026-04-07,50.5,45.0
3765105,chedraui,2026-04-08,50.5,50.5
3765105,chedraui,2026-04-12,50.5,50.5
3765105,chedraui,2026-04-13,50.5,45.0
3786191,chedraui,2026-04-02,36.0,25.0
3786191,chedraui,2026-04-07,36.0,25.0
3786191,chedraui,2026-04-08,36.0,36.0
3786191,chedraui,2026-04-12,36.0,36.0
3786191,chedraui,2026-04-13,36.0,25.0
3880748,chedraui,2026-04-02,42.0,37.0
3880748,chedraui,2026-04-07,42.0,37.0
3880748,chedraui,2026-04-08,42.0,37.0
3880748,chedraui,2026-04-12,42.0,42.0
3880748,chedraui,2026-04-13,42.0,37.0
3880904,chedraui,2026-04-02,36.5,36.5
3880904,chedraui,2026-04-07,36.5,36.5
3880904,chedraui,2026-04-08,42.0,42.0
3880904,chedraui,2026-04-12,42.0,42.0
3880904,chedraui,2026-04-13,37.5,37.0
3886909,chedraui,2026-04-02,132.0,132.0
3886909,chedraui,2026-04-07,132.0,132.0
3886909,chedraui,2026-04-08,132.0,132.0
3886909,chedraui,2026-04-12,132.0,132.0
3886909,chedraui,2026-04-13,132.0,115.0
61567,superaki,2026-04-03,259.0,259.0
61567,superaki,2026-04-07,259.0,259.0
61567,superaki,2026-04-08,259.0,259.0
61567,superaki,2026-04-12,259.0,259.0
61567,superaki,2026-04-13,259.0,181.3
61568,superaki,2026-04-03,21.5,21.5
61568,superaki,2026-04-07,21.5,21.5
61568,superaki,2026-04-08,21.5,21.5
61568,superaki,2026-04-12,21.5,21.5
61568,superaki,2026-04-13,21.5,15.05
61569,superaki,2026-04-03,49.5,49.5
61569,superaki,2026-04-07,49.5,49.5
61569,superaki,2026-04-08,49.5,49.5
61569,superaki,2026-04-12,49.5,49.5
61569,superaki,2026-04-13,49.5,34.65
61812,superaki,2026-04-02,14.95,14.95
61812,superaki,2026-04-03,14.95,14.95
61812,superaki,2026-04-07,14.95,14.95
61812,superaki,2026-04-08,14.95,14.95
61812,superaki,2026-04-12,14.95,14.95
61812,superaki,2026-04-13,14.95,9.5
62455,superaki,2026-04-03,63.5,63.5
62455,superaki,2026-04-07,63.5,63.5
62455,superaki,2026-04-08,63.5,63.5
62455,superaki,2026-04-12,63.5,63.5
62455,superaki,2026-04-13,63.5,44.45
62562,superaki,2026-04-02,86.0,86.0
62562,superaki,2026-04-03,86.0,86.0
62562,superaki,2026-04-07,86.0,86.0
62562,superaki,2026-04-08,86.0,86.0
